Name,Country,State,Time Zone,Time Zone Designator,Airport Designator,Basins,Vendor(s),Sublocations,Main Operating Base,Internet Status,ID,Ground Support
Sao Paulo,Brazil,,BRT,America/Sao_Paulo,SBGR,Brazil,SAI,"Hangar01 Hangar,Cargo Received",No,Inactive,"4393825000004426039",No
Scranton ,United States,PA,ET,America/New_York,KAVP,Appalachian,KCSI,"01 Upload Station,02 Upload Station,03 Upload Station",No,Active,"4393825000005936056",No
Shreveport,United States,LA,CT,America/Chicago,KDTN,Haynesville,"KCSI,API","01 Hangar,02 Hangar,03 Hangar,04 Hangar,05 Hangar,Upload Office Office,Cargo Received,01 Upload Station,02 Upload Station,03 Upload Station,04 Upload Station,05 Upload Station",No,Active,"4393825000000154095",No
Sorocaba,Brazil,,BRT,America/Sao_Paulo,SDCO,Brazil,SAI,,No,Inactive,"4393825000008478016",No
Spring,United States,TX,CT,America/Chicago,KDWH,Eagle Ford,API,"01 Hangar,02 Hangar,03 Hangar,04 Hangar,Cargo Received",No,Inactive,"4393825000002075051",No
State College,United States,PA,ET,America/New_York,KUNV,Appalachian,KCSI,"01 Hangar,02 Hangar,03 Hangar,04 Hangar,Cargo Received",No,Active,"4393825000000478007",No
Sunnyvale,United States,CA,PT,America/Los_Angeles,NA,San Joaquin,Insight M,"Insight M Office Office,Cargo Received",No,Active,"4393825000000154099",No
Tefe,Brazil,,VET,America/Caracas,SBTF,Brazil,SAI,,No,Inactive,"4393825000008478024",No
Tracy,United States,CA,PT,America/Los_Angeles,KTCY,San Joaquin,Insight M,"01 Hangar,02 Hangar,Cargo Received",No,Inactive,"4393825000000154103",No
Vernal,United States,UT,MT,America/Denver,KVEL,Uinta,"KCSI,API","01 Hangar,Cargo Received",No,Inactive,"4393825000000568007",No
Victoria,United States,TX,CT,America/Chicago,KVCT,Eagle Ford,API,"01 Hangar,02 Hangar,03 Hangar,04 Hangar,Cargo Received",No,Inactive,"4393825000002808011",No
Watkins,United States,CO,MT,America/Denver,KCFO,DJ,KCSI,"01 Upload Station,02 Upload Station,03 Upload Station,04 Upload Station,05 Upload Station,Cargo Received,01 Hangar,02 Hangar,03 Hangar,04 Hangar",Yes,Active,"4393825000001966023",No
Wheeling,United States,WV,ET,America/New_York,KHLV,Marcellus,API,"01 Hangar,02 Hangar,03 Hangar,04 Hangar",No,Inactive,"4393825000002322033",No
Williston,United States,ND,CT,America/Chicago,KXWA,Bakken,"KCSI,API","01 Hangar,Cargo Received,02 Hangar,03 Hangar,04 Hangar",No,Inactive,"4393825000000274003",No
